i,t,m,age,sex,HH_size
94422,2017,USA,2,Female,4
94423,2017,USA,18,Male,6
94424,2017,USA,75,Female,1
94425,2017,USA,75,Female,2
94426,2017,USA,5.40E-79,Female,6
94427,2017,USA,49,Female,5
94428,2017,USA,60,Male,1
94429,2017,USA,61,Male,3
94430,2017,USA,25,Female,3
94431,2017,USA,47,Male,5
94432,2017,USA,71,Female,1
94433,2017,USA,46,Male,5
94434,2017,USA,26,Female,2
94435,2017,USA,1,Male,3
94436,2017,USA,31,Female,2
94437,2017,USA,1,Male,4
94438,2017,USA,80,Male,1
94439,2017,USA,7,Female,7
94440,2017,USA,5.40E-79,Female,5
94441,2017,USA,12,Male,4
94442,2017,USA,60,Male,2
94443,2017,USA,32,Male,4
94444,2017,USA,78,Female,3
94445,2017,USA,53,Male,4
94446,2017,USA,28,Female,7
94447,2017,USA,15,Male,6
94448,2017,USA,41,Male,5
94449,2017,USA,1,Male,3
94450,2017,USA,30,Male,5
94451,2017,USA,4,Female,4
94452,2017,USA,58,Female,6
94453,2017,USA,20,Female,6
94454,2017,USA,1,Male,3
94455,2017,USA,10,Female,4
94456,2017,USA,16,Female,4
94457,2017,USA,46,Female,3
94458,2017,USA,56,Male,4
94459,2017,USA,52,Female,2
94460,2017,USA,61,Female,2
94461,2017,USA,19,Female,3
94462,2017,USA,12,Female,7
94463,2017,USA,26,Female,3
94464,2017,USA,77,Male,2
94465,2017,USA,31,Male,1
94466,2017,USA,1,Male,3
94467,2017,USA,18,Female,3
94468,2017,USA,5.40E-79,Female,6
94469,2017,USA,37,Female,4
94470,2017,USA,64,Male,4
94471,2017,USA,42,Female,7
94472,2017,USA,5,Female,4
94473,2017,USA,73,Female,3
94474,2017,USA,55,Male,3
94475,2017,USA,26,Female,5
94476,2017,USA,55,Female,5
94477,2017,USA,58,Female,3
94478,2017,USA,37,Female,1
94479,2017,USA,64,Female,1
94480,2017,USA,6,Male,7
94481,2017,USA,31,Female,5
94482,2017,USA,13,Female,7
94483,2017,USA,74,Female,2
94484,2017,USA,5,Male,4
94485,2017,USA,5.40E-79,Female,3
94486,2017,USA,44,Female,2
94487,2017,USA,29,Male,2
94488,2017,USA,38,Female,5
94489,2017,USA,4,Female,5
94490,2017,USA,64,Female,2
94491,2017,USA,19,Female,5
94492,2017,USA,6,Male,4
94493,2017,USA,63,Male,2
94494,2017,USA,10,Male,6
94495,2017,USA,4,Female,5
94496,2017,USA,3,Male,4
94497,2017,USA,45,Male,2
94498,2017,USA,11,Female,4
94499,2017,USA,62,Male,2
94500,2017,USA,60,Female,1
